umrt 豈
mgyjj 璉
hdhj 秊
vfdwf 練
sjvt 聯
qojwj 輦
tyjj 蓮
yjwj 連
cdwf 鍊
mniln 列
fhks 劣
rwk 咽
mnf 烈
mnyhv 裂
yrcru 說
ihhc 廉
itxc 廉
onp 念
qonp 捻
mnoro 殮
hitc 簾
hihc 簾
khvvv 獵
osl 令
oni 令
wosl 囹
woni 囹
jpbn 寧
uolz 嶺
uoiz 嶺
posl 怜
poni 怜
mgosl 玲
mgoni 玲
ffbmi 瑩
tqosl 羚
tqoni 羚
sjosl 聆
sjoni 聆
cosl 鈴
coni 鈴
mzosl 零
mzoni 零
mzrmo 靈
oslmz 領
onimz 領
omnn 例
mftwt 禮
iftwt 禮
mwtwt 醴
gfle 隸
mxmp 惡
nn 了
okcf 僚
jkcf 寮
se 尿
fdyj 料
vid 樂
fkcf 燎
kkcf 療
tssh 蓼
ykcf 遼
ybysp 龍
abjj 暈
nlmmu 阮
hhcln 劉
dng 杻
dhvl 柳
eyiu 流
ehhw 溜
mgyiu 琉
hhw 留
mryiu 硫
vfng 紐
fdkmz 類
yc 六
shi 戮
nlgcg 陸
oobt 倫
uobt 崙
eobt 淪
jjobt 輪
holq 律
pmwd 慄
mwd 栗
yioj 率
nlhem 隆
hdln 利
jlk 吏
shoe 履
aphh 易
dnd 李
hnd 梨
esp 泥
mgwg 理
khdn 痢
wlpog 罹
ywgv 裏
lwg 裡
wg 里
yubog 離
stkr 匿
enhh 溺
ykr 吝
ffdq 燐
mgfdq 璘
tang 藺
nlfdq 隣
nffdq 鱗
ipfdq 麟
dd 林
edd 淋
slorr 臨
yt 立
hyt 笠
fdyt 粒
vmik 狀
bf 炙
yryia 識
oj 什
tod 茶
dbln 刺
psh 切
ite 度
qmr 拓
fdilr 糖
jhp 宅
ebmr 洞
atce 暴
jjmrw 輻
hommn 行
nlheq 降
buhu 見
iydl 廓
mu 兀
grhne 嗀
yge 﨎
gcor 﨏
gbmo 塚
uytr 﨑
aqmb 晴
dtoi 﨓
dfcq 﨔
iuf 凞
khqia 猪
khqa 猪
cmct 益
tcbt 益
mfu 礼
ifu 礼
mflwl 神
iflwl 神
mftq 祥
iftq 祥
mfmrw 福
ifmrw 福
ytqmb 靖
fdqmb 精
ss 羽
tbav 﨟
thdu 蘒
lihqm 﨡
yrqia 諸
yrqa 諸
goyj 﨣
ynhe 﨤
ynai 逸
qianl 都
qanl 都
cqnd 﨧
cgl 﨨
nlhzu 﨩
oshe 飯
oihe 飯
ossmr 飼
oismr 飼
osjrr 館
oijrr 館
joghz 鶴
iavnl 郞
iainl 郞
gfle 隷
oowy 侮
oowj 侮
ocwa 僧
shau 免
nahu 免
nauks 勉
tlmks 勤
hwhj 卑
rapv 喝
rtlo 嘆
rrikr 器
gshh 塀
gstt 塀
wfgg 墨
scwa 層
ul 屮
powy 悔
powj 悔
phsu 慨
phpu 慨
pcwa 憎
hgp 懲
owyok 敏
owjok 敏
hsmlu 既
hpmlu 既
aqia 暑
aqa 暑
dowy 梅
dowj 梅
eowy 海
eowj 海
eqia 渚
eqa 渚
etlo 漢
qiaf 煮
qaf 煮
hf   爫
hiih 爫
mgmko 琢
mrhwj 碑
mfg 社
ifg 社
mfx 祉
ifx 祉
mfhml 祈
ifhml 祈
mfkr 祐
ifkr 祐
mfbm 祖
ifbm 祖
mfrhu 祝
ifrhu 祝
mfbbr 禍
ifbbr 禍
mfybc 禎
ifybc 禎
gdhne 穀
jcik 突
hhsl 節
hhpl 節
vfdwf 練
vfmla 縉
okvif 繁
wlqia 署
wlqa 署
qia 者
qa 者
huik 臭
lmy 艹
jj 艹
tqia 著
tqa 著
lapv 褐
mfbuu 視
ifbuu 視
yrapv 謁
yrtlm 謹
jfbc 賓
bccwa 贈
inno 辶
ynai 逸
tloog 難
vlyta 響
xnhmz 頻
xlhmz 頻
ijwp 恵
suf 𤋮
orjrr 舘
ttm 並
mmrhu 况
imrhu 况
omg 全
omjn 侀
ohjn 侀
omtn 侀
kihu 充
yihu 充
lpwtc 冀
nibs 勇
pi 勺
pm 勺
rapp 喝
rpov 啕
rpox 啕
rsho 喙
rabt 嗢
gbmo 塚
gjtc 墳
kwu 奄
kjt 奔
vwhj 婢
vtvp 嬨
iqsk 廒
igsk 廒
iwtc 廙
hdhhh 彩
hobmu 徭
pbtv 惘
pjbc 慎
obnp 愈
obvp 愈
pcwa 憎
pgsk 慠
pqsk 慠
hgp 懲
jiwtc 戴
qobn 揄
qobv 揄
qxle 搜
qshh 摒
qstt 摒
qmsok 敖
gysok 敖
aqmb 晴
iib 朗
ivb 朗
ybhg 望
ybmg 望
dijk 杖
me 歹
kdhne 殺
ekiu 流
eyiu 流
ebmu 滛
etv 滋
eyii 滋
etao 漢
etlo 漢
eqbd 瀞
qaf 煮
qiaf 煮
bgf 瞧
bwli 爵
khru 犯
khqa 猪
khqia 猪
mgjbc 瑱
tvmn 甆
timun 甆
mulw 画
mluw 画
kwle 瘝
kabt 瘟
tcbt 益
cmct 益
ihst 盛
jbmm 直
jbuv 直
buib 睊
tqbu 着
tghu 着
mrjbc 磌
mrpbc 磌
jcold 窱
hail 節
fdik 类
olhf 絛
vfdw 練
ouhh 缾
outt 缾
qa 者
qia 者
tovu 荒
tvou 荒
tmtj 華
liwot 蝹
lnii 襁
mbhoe 覆
ifbuu 視
mfbuu 視
yrbgr 調
yrbqr 調
yrqa 諸
yrqia 諸
yrqmb 請
yrapp 謁
yrtkr 諾
yrobn 諭
yrobv 諭
yrtag 謹
yrtlg 謹
yvfe 變
bccwa 贈
jjobn 輸
jjobv 輸
yseq 遲
mwxle 醙
cmjn 鉶
cmtn 鉶
nlqa 陼
nlqia 陼
taoog 難
tloog 難
ytqmb 靖
dqthb 韛
vlyta 響
mrumz 頋
xfhmz 頻
shjbc 鬒
shpbc 鬒
hxu 龜
nxu 龜
phkp 𢡊
phka 𢡄
dijc 𣏕
did 𣏕
dcrl 㮝
bumjj 䀘
bumt 䀘
bukoo 䀹
buold 𥉉
hanj 𥳐
hant 𥳐
gohh 𧻓
gott 𧻓
hlapp 齃
htapp 齃
mybl 龎
mbmb 丽
mbib 丽
mmbmb 丽
mmbib 丽
knk 丸
kni 丸
mo 乁
mbvm 𠄢
mbrv 𠄢
oof 你
oowj 侮
oowy 侮
ocru 侻
ohh 倂
ott 倂
ohya 偺
ohoa 偺
otmb 備
othb 備
ocwa 僧
onbo 像
ouos 㒞
oous 㒞
yihu 𠘺
shau 免
nahu 免
shai 兔
nahi 兔
fuitc 兤
bumc 具
xlmc 𠔜
pcpbc 㒹
ob 內
mgb 再
bbmm 𠕋
btt 𠕋
bhu 冗
bshi 冤
bnai 冤
oo 仌
heim 冬
hey 冬
mmrhu 况
imrhu 况
imqbu 𩇟
vl 凵
sk 刃
shi 刃
shh 刃
dheln 㓟
yvoln 刻
iavln 剆
iailn 剆
jqrln 割
yhmln 剷
ykmln 剷
omnks 㔕
niws 勇
nauks 勉
tamks 勤
tlmks 勤
pm 勺
pi 勺
psu 包
pkk 匆
lmp 北
jt 卉
hwhj 卑
jjwi 博
assl 即
apsl 即
hpsl 卽
hvapl 卿
hviil 卿
hvhpl 卿
hp 𠨬
mf 灰
kf 灰
nhe 及
lwle 叟
soe 𠭣
rv 叫
rp 叱
rhi 吆
rmt 咞
rnhe 吸
rmg 呈
rhg 呈
bqr 周
bgr 周
rrmjs 咢
rrmks 咢
rtq 哶
ilr 唐
ijsr 唐
ilsr 唐
hkr 啓
ikr 啓
roul 啣
tqtr 善
tgtr 善
tgtr 善
tqtr 善
rsho 喙
rqhk 喫
rdbm 喳
rbou 嗂
wrkw 圖
rtao 嘆
rtlo 嘆
wiyw 圗
rhaj 噑
rjtc 噴
gsh 切
lmg 壮
gihs 城
gpbv 埴
gshi 堍
gnai 堍
hng 型
mng 型
hlg 堲
alg 堲
glre 報
nog 墬
gxoc 𡓤
gbhn 売
gbhu 売
gbtm 壷
heqj 夆
nini 多
tbni 夢
kqia 奢
kqa 奢
vp 𡚨
vkuh 𡛪
vsll 姬
vrvk 娛
vcru 娧
vhh 姘
vtt 姘
vsbb 婦
vjce 㛮
vjfe 㛮
vhjl 㛼
vmjl 㛼
vhjx 㛼
vmjx 㛼
vggn 嬈
vdlc 嬾
vdlz 嬾
jmms 𡧈
jshi 寃
jnai 寃
jpbc 寘
jpwn 寧
jmfc 寳
shjtu 𡬘
qkdi 寿
lmbdi 将
fs 当
ku 尢
kuap 㞁
sqia 屠
sqa 屠
ul 屮
uh 屮
ulw 峀
umjj 岍
umt 岍
urvk 𡷤
uyhh 嵃
uykh 嵃
hlu 𡷦
alu 𡷦
upbc 嵮
utv 嵫
uyhm 嵼
uykm 嵼
yvvv 巡
vvxd 巢
rr 㠯
rutc 巽
lbcru 帨
lbabu 帽
lbjtc 幩
lbaws 㡢
lbtxe 𢆃
ilwp 㡼
ihh 庰
itt 庰
iwlj 庳
itf 庶
iivl 廊
iiil 廊
idhni 𪎒
ichni 𪎒
kj 廾
ysmt 𢌱
ysmt 𢌱
xt 舁
nue 弢
numk 弢
nuyk 弢
shhb 㣇
parmb 𣊸
rmff 𦇚
mjmjh 形
mthhh 形
brhhh 彫
hokoo 㣣
hodw 徚
skp 忍
ship 忍
shhp 忍
qp 志
pmg 忹
pib 悁
pyvu 㤺
pihm 㤜
powj 悔
powy 悔
pdwf 𢛔
pysd 惇
tvp 慈
ptou 慌
pjbc 慎
ptyu 慌
plwv 慺
pcwa 憎
jqjp 憲
pjtc 憤
pkua 憯
plbo 懞
hgp 懲
pdlz 懶
ihmn 成
mbmi 戛
mmi 戛
qmjs 扝
qmks 扝
qpsu 抱
qike 拔
qib 捐
qhie 𢬌
qshu 挽
qnau 挽
qhh 拼
qtt 拼
qogr 捨
qsbb 掃
qhpl 揤
qail 揤
qjfe 𢯱
qmla 搢
mjq 揅
mtq 揅
qkxu 掩
qxau 㨮
icq 摩
idq 摩
qnri 摾
qbhf 撝
qvvd 摷
qyli 㩬
owjok 敏
owyok 敏
tprok 敬
yxcye 𣀊
yxcok 𣀊
ykcye 𣀊
ykcok 𣀊
itcye 𣀊
itcok 𣀊
hpmvu 旣
lga 書
mtma 晉
aikf 㬙
aqia 暑
aqa 暑
awot 㬈
aise 㫤
abu 冒
anau 冕
ashu 冕
asje 最
yta 暜
bob 肭
blbu 䏙
ivb 朗
iib 朗
ybmg 望
ybhg 望
buce 朡
dru 杞
dpm 杓
dpi 杓
ds 𣏃
td 㭉
drks 柺
dmjj 枅
dmt 枅
jtd 桒
dowj 梅
dowy 梅
dbbm 𣑭
dhap 梎
dhh 栟
dtt 栟
dvw 椔
dcrl 㮝
ddbm 楂
dbou 榣
dhpu 槪
dtgo 檨
dwtc 𣚣
dhhl 櫛
dhal 櫛
dsft 㰘
imno 次
mmno 次
xono 𣢧
yplno 歔
wlfno 㱎
xihf 歲
mnabt 殟
kdhne 殺
gnhne 殻
snhne 𣪍
uwyi 𡴋
uwj 𡴋
oyyib 𣫺
ojyib 𣫺
ehni 汎
elbn 𣲼
ehnr 沿
ejz 泍
emjj 汧
emt 汧
ervk 洖
ehho 派
eowj 海
eowy 海
eyiu 流
ehqr 浩
ehgr 浩
esbe 浸
eam 涅
ecsg 𣴞
ehh 洴
ett 洴
etcu 港
emwg 湮
egih 㴳
etv 滋
epbc 滇
ekde 𣻑
ekxu 淹
ejjb 潮
eahr 𣽞
emef 𣾎
enrf 𣾎
ejtc 濆
eowb 瀹
eqbd 瀞
eynv 瀛
eyvq 瀛
eolf 㶖
ekub 灊
vf 災
ft 灷
umf 炭
ukf 炭
txf 𠔥
frse 煅
fvw 𤉣
fhwp 熜
fftf 𤎫
ffto 𤎫
xbddf 爨
bwli 爵
llhjl 牐
lshjl 牐
mvhx 𤘈
sehq 犀
hqthb 犕
hqtmb 犕
khmjj 𤜵
khmt 𤜵
khibc 𤠔
khdlz 獺
mg 王
mghni 㺬
mgb 玥
okmg 㺸
okmgi 㺸
mgqmj 瑇
mgqmy 瑇
mgobv 瑜
mgpbc 瑱
mgvvd 璅
mgnwe 瓊
mjmjn 㼛
mtmun 㼛
mohqm 甤
lwll 𤰶
vw 甾
wtt 𤲒
wtc 異
lwhh 𢆟
lwtt 𢆟
klwo 瘐
haikf 𤾡
hatbf 𤾸
mmst 𥁄
mjbt 㿼
mtbt 㿼
hubt 䀈
aubt 䀈
jbuv 直
bumms 𥃳
but 𥃲
bumlc 𥄙
wle 𥄳
pbvc 眞
pbuc 眞
jbuc 真
jbuc 真
buib 睊
bukoo 䀹
bupbc 瞋
bukxu 䁆
mir 䂖
mrpm 𥐝
mrpi 𥐝
mrmjn 硎
mrmtn 硎
mrse 碌
mrjbc 磌
mrbhf 䃣
infok 𥘦
mmfok 𥘦
mfbm 祖
ifyhu 𥚚
mfyhu 𥚚
ifyku 𥚚
mfyku 𥚚
ifhlw 𥛅
mfhlw 𥛅
ifmsw 福
mfmsw 福
hdid 秫
hdijc 秫
hdmjj 䄯
hdmt 䄯
gdhne 穀
hdhpu 穊
hdaiu 穊
hdbsp 穏
jcqbl 𥥼
ytpbc 𥪧
ytjbc 𥪧
ytshh 竮
ytstt 竮
hhh 䈂
htt 䈂
hbfd 𥮫
hsho 篆
hmnd 築
hbhf 䈧
hvvd 𥲀
fdtmb 糒
fdthb 糒
hufd 䊠
aufd 䊠
fdnri 糨
fdkua 糣
vfsyu 紀
vfsu 紀
vfvu 𥾆
vfhh 絣
vftt 絣
vfmwv 䌁
vfvw 緇
vfcrp 縂
vfvvd 繅
vfyvq 䌴
vfynq 䌴
oumjj 𦈨
oumt 𦈨
oushh 𦉇
oustt 𦉇
wlowy 䍙
wlowj 䍙
bkkxu 𦋙
wlvvd 罺
wlvfv 𦌾
tgye 羕
hjss 翺
hkss 翺
qia 者
qa 者
huumb 𦓚
qdihh 𦔣
qdihy 𦔣
qdihj 𦔣
sjhh 聠
sjtt 聠
dnsj 𦖨
sjhwp 聰
bmb 𣍟
bmg 䏕
bhg 䏕
yib 育
bnau 脃
bshu 脃
bcip 䐋
bwhj 脾
bfv 媵
bhhw 𦞧
bhaz 𦞵
byso 𣎓
bbaa 𣎜
xt 舁
xvsf 舄
mryl 辞
hryl 辞
hyhh 䑫
hytt 䑫
tsu 芑
tsyu 芑
tmd 芋
tino 芝
tbks 劳
top 花
uuyhs 芳
tyhs 芳
tmvh 芽
tjr 苦
tnf 𦬼
tkr 若
tsll 茝
tbd 荣
tail 莭
trmk 茣
tkt 莽
tihp 菧
tqa 著
tqia 著
thh 荓
ttt 荓
tpfd 菊
twhd 菌
tbd 菜
tgpr 𦰶
tmjf 𦵫
tajt 𦳕
tnxb 䔫
tehh 蓱
tett 蓱
ttlm 蓳
typm 蔖
tlii 𧏊
tohqm 蕤
temt 𦼬
thdb 䕝
tanr 䕡
tqvd 𦾱
tvfv 𧃒
txue 䕫
ypsm 虐
ypwks 虜
ygmjs 虧
ygmks 虧
ffypu 虩
ffypn 虩
umli 蚩
limjj 蚈
limt 蚈
liib 蜎
lihh 蛢
litt 蛢
liabt 蝹
liyso 蜨
liqia 蝫
liqa 蝫
litv 螆
lihhh 䗗
lihtt 䗗
libhf 蟡
vlli 蠁
litvp 䗹
hopcn 衠
yoo 衣
lmt 𧙧
lyiu 裗
lcru 裞
lse 䘵
lkxu 裺
abuu 㒻
mpbuu 𧢮
yrmms 𧥦
yrmg 䚾
yrhg 䚾
yrhvr 䛇
yrhnr 䛇
yrihl 誠
yrobv 諭
vfhe 變
nso 豕
bsmjj 𧲨
bsmt 𧲨
wybuc 貫
wjbuc 貫
jtbc 賁
yjhec 贛
gosu 起
goobv 𧼯
gofbn 𠠄
rxike 跋
rxmjj 趼
rxmt 趼
rxhh 跰
rxtt 跰
pjwj 𠣞
jjsk 軔
jjshi 軔
jjshh 軔
jjobv 輸
ymzg 𨗒
yxlg 𨗭
sunl 邔
syunl 邔
hhnl 郱
ttnl 郱
mlanl 鄑
hvhsl 𨜮
hvhpl 𨜮
vvdnl 鄛
cike 鈸
cib 鋗
crvk 鋘
chh 鉼
ctt 鉼
cnri 鏹
ckua 鐕
cxbf 𨯺
anmjj 開
anmt 開
anhh 䦕
antt 䦕
kdano 閷
anwot 𨵷
nlikf 䧦
mjmjg 雃
mtog 雃
uogs 嶲
mzibc 霣
mzett 𩅅
mwhh 𩈚
mwtt 𩈚
tjse 䩮
tjumi 䩶
dqwtj 韠
jbiom 𩐊
jbmom 𩐊
ybiom 𩐊
ybmom 𩐊
mumz 䪲
mtmz 𩒖
msumz 頋
mrumz 頋
hhmz 頩
ttmz 頩
hnid 𩖶
hnijc 𩖶
oihu 飢
oifq 䬳
oioyo 餩
haabt 馧
pjsqf 駂
sfcru 駾
bbomj 䯎
shmhn 𩬰
shjbc 鬒
shpbc 鬒
hunwf 鱀
aunwf 鱀
mjmjz 鳽
mthz 鳽
xhz 䳎
aislz 䳭
hhhz 鵧
tthz 鵧
obvhz 𪃎
obnhz 𪃎
ichz 䳸
idhz 䳸
kehz 𪄅
dlmzz 𪈎
ipmjj 𪊑
ipmt 𪊑
idd 麻
ijcc 麻
sehde 䵖
tmfb 黹
rwu 黾
orbaa 鼅
bbux 鼏
jtge 鼖
huwt 鼻
xuhh 𪘀
xutt 𪘀
